ticker,company_name,index_memberships,sector,industry,exchange
WTW,Willis Towers Watson,S&P 500,Financials,Insurance Brokers,
WY,Weyerhaeuser,S&P 500,Real Estate,Timber REITs,
WYNN,Wynn Resorts,S&P 500,Consumer Discretionary,Casinos & Gaming,
XEL,Xcel Energy,S&P 500,Utilities,Multi-Utilities,
XOM,ExxonMobil,S&P 500,Energy,Integrated Oil & Gas,
XYL,Xylem Inc.,S&P 500,Industrials,Industrial Machinery & Supplies & Components,
XYZ,"Block, Inc.",S&P 500,Financials,Transaction & Payment Processing Services,
YUM,Yum! Brands,S&P 500,Consumer Discretionary,Restaurants,
ZBH,Zimmer Biomet,S&P 500,Health Care,Health Care Equipment,
ZBRA,Zebra Technologies,S&P 500,Information Technology,Electronic Equipment & Instruments,
ZTS,Zoetis,S&P 500,Health Care,Pharmaceuticals,
