ticker,company_name,index_memberships,sector,industry,exchange
LMT,Lockheed Martin,S&P 500,Industrials,Aerospace & Defense,
LNT,Alliant Energy,S&P 500,Utilities,Electric Utilities,
LOW,Lowe's,S&P 500,Consumer Discretionary,Home Improvement Retail,
LRCX,Lam Research,S&P 500,Information Technology,Semiconductor Materials & Equipment,
LULU,Lululemon Athletica,S&P 500,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",
LUV,Southwest Airlines,S&P 500,Industrials,Passenger Airlines,
LVS,Las Vegas Sands,S&P 500,Consumer Discretionary,Casinos & Gaming,
LYB,LyondellBasell,S&P 500,Materials,Specialty Chemicals,
LYV,Live Nation Entertainment,S&P 500,Communication Services,Movies & Entertainment,
MA,Mastercard,S&P 500,Financials,Transaction & Payment Processing Services,
MAA,Mid-America Apartment Communities,S&P 500,Real Estate,Multi-Family Residential REITs,
MAR,Marriott International,S&P 500,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",
MAS,Masco,S&P 500,Industrials,Building Products,
MCD,McDonald's,S&P 500,Consumer Discretionary,Restaurants,
MCHP,Microchip Technology,S&P 500,Information Technology,Semiconductors,
MCK,McKesson Corporation,S&P 500,Health Care,Health Care Distributors,
MCO,Moody's Corporation,S&P 500,Financials,Financial Exchanges & Data,
MDLZ,Mondelez International,S&P 500,Consumer Staples,Packaged Foods & Meats,
MDT,Medtronic,S&P 500,Health Care,Health Care Equipment,
MET,MetLife,S&P 500,Financials,Life & Health Insurance,
META,Meta Platforms,S&P 500,Communication Services,Interactive Media & Services,
MGM,MGM Resorts,S&P 500,Consumer Discretionary,Casinos & Gaming,
MKC,McCormick & Company,S&P 500,Consumer Staples,Packaged Foods & Meats,
MLM,Martin Marietta Materials,S&P 500,Materials,Construction Materials,
MMM,3M,S&P 500,Industrials,Industrial Conglomerates,
MNST,Monster Beverage,S&P 500,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,
MO,Altria,S&P 500,Consumer Staples,Tobacco,
MOS,Mosaic Company (The),S&P 500,Materials,Fertilizers & Agricultural Chemicals,
MPC,Marathon Petroleum,S&P 500,Energy,Oil & Gas Refining & Marketing,
MPWR,Monolithic Power Systems,S&P 500,Information Technology,Semiconductors,
MRK,Merck & Co.,S&P 500,Health Care,Pharmaceuticals,
MRNA,Moderna,S&P 500,Health Care,Biotechnology,
MRSH,Marsh McLennan,S&P 500,Financials,Insurance Brokers,
MS,Morgan Stanley,S&P 500,Financials,Investment Banking & Brokerage,
MSCI,MSCI Inc.,S&P 500,Financials,Financial Exchanges & Data,
MSFT,Microsoft,S&P 500,Information Technology,Systems Software,
MSI,Motorola Solutions,S&P 500,Information Technology,Communications Equipment,
MTB,M&T Bank,S&P 500,Financials,Regional Banks,
MTD,Mettler Toledo,S&P 500,Health Care,Life Sciences Tools & Services,
MU,Micron Technology,S&P 500,Information Technology,Semiconductors,
NCLH,Norwegian Cruise Line Holdings,S&P 500,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",
NDAQ,"Nasdaq, Inc.",S&P 500,Financials,Financial Exchanges & Data,
NDSN,Nordson Corporation,S&P 500,Industrials,Industrial Machinery & Supplies & Components,
NEE,NextEra Energy,S&P 500,Utilities,Multi-Utilities,
NEM,Newmont,S&P 500,Materials,Gold,
NFLX,Netflix,S&P 500,Communication Services,Movies & Entertainment,
NI,NiSource,S&P 500,Utilities,Multi-Utilities,
NKE,"Nike, Inc.",S&P 500,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",
NOC,Northrop Grumman,S&P 500,Industrials,Aerospace & Defense,
NOW,ServiceNow,S&P 500,Information Technology,Systems Software,
NRG,NRG Energy,S&P 500,Utilities,Independent Power Producers & Energy Traders,
NSC,Norfolk Southern,S&P 500,Industrials,Rail Transportation,
NTAP,NetApp,S&P 500,Information Technology,"Technology Hardware, Storage & Peripherals",
NTRS,Northern Trust,S&P 500,Financials,Asset Management & Custody Banks,
NUE,Nucor,S&P 500,Materials,Steel,
NVDA,Nvidia,S&P 500,Information Technology,Semiconductors,
NVR,"NVR, Inc.",S&P 500,Consumer Discretionary,Homebuilding,
NWS,News Corp (Class B),S&P 500,Communication Services,Publishing,
NWSA,News Corp (Class A),S&P 500,Communication Services,Publishing,
NXPI,NXP Semiconductors,S&P 500,Information Technology,Semiconductors,
O,Realty Income,S&P 500,Real Estate,Retail REITs,
ODFL,Old Dominion,S&P 500,Industrials,Cargo Ground Transportation,
OKE,Oneok,S&P 500,Energy,Oil & Gas Storage & Transportation,
OMC,Omnicom Group,S&P 500,Communication Services,Advertising,
ON,ON Semiconductor,S&P 500,Information Technology,Semiconductors,
ORCL,Oracle Corporation,S&P 500,Information Technology,Application Software,
ORLY,O’Reilly Automotive,S&P 500,Consumer Discretionary,Automotive Retail,
OTIS,Otis Worldwide,S&P 500,Industrials,Industrial Machinery & Supplies & Components,
OXY,Occidental Petroleum,S&P 500,Energy,Oil & Gas Exploration & Production,
PANW,Palo Alto Networks,S&P 500,Information Technology,Systems Software,
PAYX,Paychex,S&P 500,Industrials,Human Resource & Employment Services,
PCAR,Paccar,S&P 500,Industrials,Construction Machinery & Heavy Transportation Equipment,
PCG,PG&E Corporation,S&P 500,Utilities,Multi-Utilities,
PEG,Public Service Enterprise Group,S&P 500,Utilities,Electric Utilities,
PEP,PepsiCo,S&P 500,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,
PFE,Pfizer,S&P 500,Health Care,Pharmaceuticals,
PFG,Principal Financial Group,S&P 500,Financials,Life & Health Insurance,
PG,Procter & Gamble,S&P 500,Consumer Staples,Personal Care Products,
PGR,Progressive Corporation,S&P 500,Financials,Property & Casualty Insurance,
PH,Parker Hannifin,S&P 500,Industrials,Industrial Machinery & Supplies & Components,
PHM,PulteGroup,S&P 500,Consumer Discretionary,Homebuilding,
PKG,Packaging Corporation of America,S&P 500,Materials,Paper & Plastic Packaging Products & Materials,
PLD,Prologis,S&P 500,Real Estate,Industrial REITs,
PLTR,Palantir Technologies,S&P 500,Information Technology,Application Software,
PM,Philip Morris International,S&P 500,Consumer Staples,Tobacco,
PNC,PNC Financial Services,S&P 500,Financials,Diversified Banks,
PNR,Pentair,S&P 500,Industrials,Industrial Machinery & Supplies & Components,
PNW,Pinnacle West Capital,S&P 500,Utilities,Multi-Utilities,
PODD,Insulet Corporation,S&P 500,Health Care,Health Care Equipment,
POOL,Pool Corporation,S&P 500,Consumer Discretionary,Distributors,
PPG,PPG Industries,S&P 500,Materials,Specialty Chemicals,
PPL,PPL Corporation,S&P 500,Utilities,Electric Utilities,
PRU,Prudential Financial,S&P 500,Financials,Life & Health Insurance,
PSA,Public Storage,S&P 500,Real Estate,Self-Storage REITs,
PSKY,Paramount Skydance Corporation,S&P 500,Communication Services,Movies & Entertainment,
PSX,Phillips 66,S&P 500,Energy,Oil & Gas Refining & Marketing,
PTC,PTC Inc.,S&P 500,Information Technology,Application Software,
PWR,Quanta Services,S&P 500,Industrials,Construction & Engineering,
PYPL,PayPal,S&P 500,Financials,Transaction & Payment Processing Services,
Q,Qnity Electronics,S&P 500,Information Technology,Semiconductor Materials & Equipment,
QCOM,Qualcomm,S&P 500,Information Technology,Semiconductors,
RCL,Royal Caribbean Group,S&P 500,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",
REG,Regency Centers,S&P 500,Real Estate,Retail REITs,
REGN,Regeneron Pharmaceuticals,S&P 500,Health Care,Biotechnology,
RF,Regions Financial Corporation,S&P 500,Financials,Regional Banks,
RJF,Raymond James Financial,S&P 500,Financials,Investment Banking & Brokerage,
RL,Ralph Lauren Corporation,S&P 500,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",
RMD,ResMed,S&P 500,Health Care,Health Care Equipment,
ROK,Rockwell Automation,S&P 500,Industrials,Electrical Components & Equipment,
ROL,"Rollins, Inc.",S&P 500,Industrials,Environmental & Facilities Services,
ROP,Roper Technologies,S&P 500,Information Technology,Electronic Equipment & Instruments,
ROST,Ross Stores,S&P 500,Consumer Discretionary,Apparel Retail,
RSG,Republic Services,S&P 500,Industrials,Environmental & Facilities Services,
RTX,RTX Corporation,S&P 500,Industrials,Aerospace & Defense,
RVTY,Revvity,S&P 500,Health Care,Health Care Equipment,
SATS,EchoStar,S&P 500,Communication Services,Wireless Telecommunication Services,
SBAC,SBA Communications,S&P 500,Real Estate,Telecom Tower REITs,
SBUX,Starbucks,S&P 500,Consumer Discretionary,Restaurants,
SCHW,Charles Schwab Corporation,S&P 500,Financials,Investment Banking & Brokerage,
SHW,Sherwin-Williams,S&P 500,Materials,Specialty Chemicals,
